date,hour,s_h0,s_t0,time_to_mins,s_d0,s_d1,s_d2
2018-12-09,20,80.78190255220417,24.241252900232077,1253.2658932714626,13.907192575406032,15.415313225058005,9.232018561484919
2018-12-09,21,81.32252410166521,24.40424863479903,1297.7642126789344,15.155531584979437,17.145486415425065,10.387109822692645
2018-12-09,22,81.76286284068247,24.389969864832874,1350.5924447891107,16.583558608464436,18.80802127188123,11.284289829381786
2018-12-09,23,81.79886282871358,24.609824982229735,1410.0457992774295,18.531849680170577,21.24844527363184,12.621490760483297
2018-12-10,0,81.76686230248308,24.974202257334344,29.794945823927787,20.94076749435666,24.033995485327313,14.076568848758464
2018-12-10,1,81.48733800430462,25.559575033198595,89.86621178122734,23.437743279754546,27.03567339836058,15.657691074781335
2018-12-10,2,80.58650262673432,25.90896008261666,150.43330115396836,24.022046607696108,27.451259485429482,15.999730591351982
2018-12-10,3,79.79355538482397,26.082951597593638,210.2440728521699,22.857368825416913,26.00637230532833,15.178514936502914
2018-12-10,4,79.56833665477129,26.396850349907613,269.92675843104865,23.207628493303055,26.388747277193307,15.47828706493025
2018-12-10,5,79.19250206744464,26.59028530735803,329.58759762933227,23.907654139483597,27.067077092713408,15.867407883855554
2018-12-10,6,79.68096109839817,26.355031121279442,389.72011212814704,23.032906178489704,26.22649885583524,15.231075514874142
2018-12-10,7,79.90738120235541,26.22418678960862,450.1940871258784,22.442735198794907,25.966722965262246,14.782033140092208
2018-12-10,8,80.48697046027021,26.140132356306776,509.9701358674941,23.71916647584154,27.874330203801236,15.58561941836501
2018-12-10,9,81.62715243791916,25.89078348740066,570.017901486322,25.028955954323003,29.572140656153707,16.358754758020662
2018-12-10,10,81.85998147290412,25.822112552105512,630.0299660336595,25.65155164427976,30.18568781843446,16.755257063455304
2018-12-10,11,82.56859413034492,25.704337941485182,690.202249728248,25.453497450971387,30.048592293207182,16.67041748955128
2018-12-10,12,82.4532380690666,25.643665842262386,750.1799769472723,25.416185765320144,30.034899697719155,16.568287991206375
2018-12-10,13,83.3113098271788,25.64884816753734,810.3357742976696,25.508965389426862,30.18973265996386,16.52884214428022
2018-12-10,14,82.98673055657943,25.642153980831097,870.387668171764,26.154349428676742,31.004791743457428,16.88937523037228
2018-12-10,15,83.448115166336,25.615221704422833,930.0400813608351,25.77958750519079,30.593549577815715,16.549993078946155
2018-12-10,16,83.18549237043486,25.53578793016347,990.2475400571406,25.955918068093297,30.853778123997618,16.601108921779772
2018-12-10,17,83.50298548594525,25.572483924304507,1050.4063139200364,25.770530957192726,30.7321789454345,16.471109682160574
2018-12-10,18,83.76816023320325,25.502428416942944,1110.2156064381816,26.722036767125864,31.700079928534485,16.927312050401994
2018-12-10,19,83.89139607411484,25.4265414602805,1170.2129960863406,26.97009722986608,31.89809209319391,17.035543936892314
2018-12-10,20,84.57458383706873,25.35678508323059,1230.0276349235871,27.409839114665676,32.580256672556494,17.194550358039617
2018-12-10,21,84.24758498978265,25.294699516995937,1289.8981128862456,27.691110904699983,32.76235370611183,17.40172766115549
2018-12-10,22,84.35908986439898,25.18846839806751,1349.8335171991228,29.019535738910594,34.32603999080671,18.11353711790393
2018-12-10,23,84.6462229556289,25.30048725705707,1409.9885397567575,30.56756508984232,36.46332966629996,19.087229556288964
2018-12-11,0,84.40760073260073,25.70635302197606,30.276411019535935,32.7353021978022,38.31671245421246,20.258516483516484
2018-12-11,1,82.49993154748323,26.122347921323186,90.14246033556933,33.52142563774928,38.82257107652991,20.85469812440104
2018-12-11,2,81.72225300092336,26.565670360108783,149.57425361649916,33.32599261311173,38.640858725761774,20.836934441366573
2018-12-11,3,80.244139639433,26.861131703287157,209.78936342645937,33.06192944630487,38.50282123033167,20.884948850864717
2018-12-11,4,79.99963606587208,27.161000363932104,270.1200277499747,31.92439268492403,37.315121463015196,20.206669092894185
2018-12-11,5,78.83587064228448,27.158079902709424,330.25280455214033,30.70169354112242,35.92797946130979,19.421718764075308
2018-12-11,6,78.76291521595935,27.04189611367073,390.4471236786819,28.427260750917473,33.40994636303755,18.13235155735391
2018-12-11,7,78.98775229357798,26.654852752291642,450.45791513760975,27.586605504587155,32.43775229357798,17.707477064220182
2018-12-11,8,79.43580624831188,26.101754749255285,510.2354446145058,26.090573512199512,30.70451066894751,16.983794003781398
2018-12-11,9,79.96748463379159,25.62390794350662,570.1460094777833,24.765542157368742,29.21174869797776,16.420353774691502
2018-12-11,10,79.70575441776167,25.323653828724765,629.8168917082005,23.687902129587677,27.92478477571364,15.802446760308111
2018-12-11,11,79.66389278629832,24.964016643280257,690.7249157353314,21.856258164400792,25.83303497992162,14.786782137500605
2018-12-11,12,78.99227017576148,24.66251679396141,749.92681666207,20.935584798012332,24.693383638538695,13.9094046194902
2018-12-11,13,78.54175087268051,24.551563476022235,810.2619641435411,19.63145324269704,23.219548043358444,12.994901708616572
2018-12-11,14,78.04796531321982,24.246017795038952,870.1034897550569,18.174066212004877,21.570299444469537,12.02624091052798
2018-12-11,15,77.19688542825361,24.134633852426717,930.2289735508764,16.676446051167964,19.983129403040415,11.042083796811271
2018-12-11,16,77.45690721649484,23.70061718212856,989.790442153486,14.49709049255441,17.144192439862543,9.571134020618556
2018-12-11,17,76.86923292012303,23.584771180909616,1049.9220935470764,13.937039798676484,16.548932798956102,9.265635194333116
2018-12-11,18,76.72743516906442,23.29620269403271,1110.4844031583077,12.727114450655183,15.005268945294603,8.375286355722533
2018-12-11,19,75.9921821423673,23.315879394685577,1170.1885139974702,13.02299638824121,15.292415306542312,8.546107072646642
